accession_number;gene_names;protein_names;ksmbr_number;kust_number
Q1Q025;;Uncharacterized protein;;kustd1939
Q1Q024;;Uncharacterized protein;;kustd1940
Q1Q023;;J domain-containing protein;;kustd1941
Q1Q021;dnaK;Strongly similar to molecular chaperone DnaK;;kustd1943
Q1Q038;cstA;Similar to carbon starvation proteinCstA;;kustd1945
Q1Q035;;Uncharacterized protein;;kustd1948
Q1Q031;;Uncharacterized protein;;kustd1952
Q1Q030;;Methyltransf_11 domain-containing protein;;kustd1953
Q1Q049;;Uncharacterized protein;;kustd1954
Q1Q046;;GLOBIN domain-containing protein;;kustd1957
Q1Q043;;Uncharacterized protein;;kustd1960
Q1Q041;secD secF;"Multifunctional fusion protein [Includes: Protein translocase subunit SecD;Protein-export membrane protein SecF]";;kustd1962
Q1Q058;Tgt tgt;Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase);;kustd1964
Q1Q057;;SpoIID domain-containing protein;;kustd1965
Q1Q054;ruvA;Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12);;kustd1968
Q1Q052;;Uncharacterized protein;;kustd1970
Q1Q051;;Uncharacterized protein;;kustd1971
Q1Q050;;Sulfate_transp domain-containing protein;;kustd1972
Q1Q068;;Cache domain-containing protein;;kustd1973
Q1Q065;phoB;Strongly similar to response regulator protein phoB;;kustd1976
Q1Q064;;Uncharacterized protein;;kustd1977
Q1Q063;;Uncharacterized protein;;kustd1978
Q1Q059;;Methyltransf_25 domain-containing protein;;kustd1982
Q1Q077;;Uncharacterized protein;;kustd1983
Q1Q076;;BcrAD_BadFG domain-containing protein;;kustd1984
Q1Q075;;Uncharacterized protein;;kustd1985
Q1Q074;aspC;Similar to aspartate aminotransferase (EC 2.6.1.1);;kustd1986
Q1Q073;;Uncharacterized protein;;kustd1987
Q1Q072;;Uncharacterized protein;;kustd1988
Q1Q071;;Uncharacterized protein;;kustd1989
Q1Q070;;Uncharacterized protein;;kustd1990
Q1Q086;;Uncharacterized protein;;kustd1992
Q1Q085;;Uncharacterized protein;;kustd1993
Q1Q084;;Uncharacterized protein;;kustd1994
Q1Q083;;Uncharacterized protein;;kustd1995
Q1Q080;;Elp3 domain-containing protein;;kustd1998
Q1Q079;;Uncharacterized protein;;kustd1999
Q1Q078;;Uncharacterized protein;;kustd2000
Q1Q095;tnpA;Similar to transposase;;kustd2001 kuste2547
Q1Q094;;Uncharacterized protein;;kustd2002
Q1Q093;;Uncharacterized protein;;kustd2003
Q1Q092;;Uncharacterized protein;;kustd2004
Q1Q090;;Uncharacterized protein;;kustd2006
Q1Q089;;Uncharacterized protein;;kustd2007
Q1Q088;tkt;Strongly similar to transketolase (EC 2.2.1.1);;kustd2008
Q1Q087;proC;Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase);;kustd2009
Q1Q0A5;;Uncharacterized protein;;kustd2010
Q1Q0A4;grpE;Similar to GrpE protein HSP-70 cofactor;;kustd2011
Q1Q0A3;dnaK;Strongly similar to molecular chaperone DnaK;;kustd2012
Q1Q0A2;;Uncharacterized protein;;kustd2013
Q1Q0A0;;Uncharacterized protein;;kustd2015
Q1Q099;;Uncharacterized protein;;kustd2016
Q1Q098;;Uncharacterized protein;;kustd2017
Q1Q0B4;;MULTIHEME_CYTC domain-containing protein;;kustd2021
Q1Q0B1;;Uncharacterized protein;;kustd2024
Q1Q0A8;folE;Strongly similar to GTP cyclohydrolase I (EC 3.5.4.16);;kustd2027
Q1Q0A7;ptr1;Similar to pteridine reductase 1 (EC 1.1.1.253);;kustd2028
Q1Q0A6;folB;7,8-dihydroneopterin aldolase (EC 4.1.2.25);;kustd2029
Q1Q0C4;folK;Strongly similar to 7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (EC 2.7.6.3);;kustd2030
Q1Q0C3;;Uncharacterized protein;;kustd2031
Q1Q0C2;;Uncharacterized protein;;kustd2032
Q1Q0C1;mug;Similar to G/U-mismatch-specific DNA glycolase (EC 3.2.2.-);;kustd2033
Q1Q0C0;;Uncharacterized protein;;kustd2034
Q1Q0B9;;FAD-binding FR-type domain-containing protein;;kustd2035
Q1Q0B7;;CBS domain-containing protein;;kustd2037
Q1Q0D3;;Cupin_2 domain-containing protein;;kustd2039
Q1Q0C8;;Uncharacterized protein;;kustd2044
Q1Q0E3;nat;Strongly similar to arylamine N-acetyltransferase (EC 2.3.1.5);;kustd2048
Q1Q0E2;gloA;Similar to lactoylglutathione lyase (EC 4.4.1.5);;kustd2049
Q1Q0E0;;Uncharacterized protein;;kustd2051
Q1Q0F2;;Uncharacterized protein;;kustd2058
Q1Q0F0;oadA;Strongly similar to oxaloacetate (OadA) or methylmalonyl-CoA decarboxylase (MmdA) (EC 4.1.1.3) (EC 4.1.1.41);;kustd2060
Q1Q0E7;;Uncharacterized protein;;kustd2063
Q1Q0E6;;Similar to two component histidine kinase (EC 2.7.3.-);;kustd2064
Q1Q0E4;atoC;Similar to sigma 54 response regulatory protein;;kustd2066
Q1PXQ9;;MlaD domain-containing protein;;kustd2069
Q1PXQ8;;Uncharacterized protein;;kustd2070
Q1PXQ7;;XFP_N domain-containing protein;;kustd2071
Q1PXQ5;;Uncharacterized protein;;kustd2073
Q1PXQ4;;Uncharacterized protein;;kustd2074
Q1PXQ3;;Alpha-amylase_C domain-containing protein;;kustd2075
Q1PXS2;aas;Similar to 2-acylglycerophosphoethanolamine acyltransferase/acyl carrier protein synthetase (EC 2.3.1.40) (EC 6.2.1.20);;kustd2076
Q1PXS1;dinG;Similar to ATP-dependent DNA helicase (DNA-damage-inducible protein G);;kustd2077
Q1PXR7;;Uncharacterized protein;;kustd2081
Q1PXR5;;Uncharacterized protein;;kustd2083
Q1PXR3;;Uncharacterized protein;;kustd2085
Q1PXR2;;Uncharacterized protein;;kustd2086
Q1PXT1;;MTTase N-terminal domain-containing protein;;kustd2087
Q1PXT0;;PLD phosphodiesterase domain-containing protein;;kustd2088
Q1PXS9;;Uncharacterized protein;;kustd2089
Q1PXS7;;Uncharacterized protein;;kustd2091
Q1PXS5;;Uncharacterized protein;;kustd2093
Q1PXS4;mdlB;Similar to multidrug resistance-like ATP-binding protein MdlB (EC 3.6.3.-);;kustd2094
Q1PXU0;;Uncharacterized protein;;kustd2097
Q1PXT9;;Uncharacterized protein;;kustd2098
Q1PXT8;;Uncharacterized protein;;kustd2099
Q1PXT5;;Uncharacterized protein;;kustd2102
Q1PXT4;hisS;Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS);;kustd2103
Q1PXT3;aspS;Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS);;kustd2104
Q1PXU6;;Uncharacterized protein;;kustd2110
Q1PXU5;;Uncharacterized protein;;kustd2111
Q1PXU4;;Uncharacterized protein;;kustd2112
Q1PXV5;hsdS;Similar to type I restriction modification enzyme S chain (EC 3.1.21.3);;kustd2116
Q1PXV4;;Uncharacterized protein;;kustd2117
Q1PXV2;;AlbA_2 domain-containing protein;;kustd2119
Q1PXW4;argC;N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase);;kustd2125
Q1PXW1;;Uncharacterized protein;;kustd2128
Q1PXW0;groL groEL;60 kDa chaperonin (GroEL protein) (Protein Cpn60);;kustd2129
Q1PXV9;;Uncharacterized protein;;kustd2130
Q1PXX4;malK;Strongly similar to maltose transport system ATP-binding protein;;kustd2134
Q1PXX3;malG;Similar to maltose transport system permease protein;;kustd2135
Q1PXX2;;Uncharacterized protein;;kustd2136
Q1PXX1;;Uncharacterized protein;;kustd2137
Q1PXX0;;Uncharacterized protein;;kustd2138
Q1PXW9;;Uncharacterized protein;;kustd2139
Q1PXW8;;Uncharacterized protein;;kustd2140
Q1PXW6;;Uncharacterized protein;;kustd2142
Q1PXY3;uvrB;UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B);;kustd2145
Q1PXY2;;Uncharacterized protein;;kustd2146
Q1PXY1;;VWFA domain-containing protein;;kustd2147
Q1PXY0;;Uncharacterized protein;;kustd2148
Q1PXX9;;Uncharacterized protein;;kustd2149
Q1PXX8;dagA;Similar to D-alanine glycine permease;;kustd2150
Q1PXX7;;Uncharacterized protein;;kustd2151
Q1PXX6;;Uncharacterized protein;;kustd2152
Q1PXZ4;;Uncharacterized protein;;kustd2154
Q1PXZ3;;Uncharacterized protein;;kustd2155
Q1PXZ2;;Uncharacterized protein;;kustd2156
Q1PXZ1;folK;Strongly similar to 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine (EC 2.7.6.3);;kustd2157
Q1PXY9;comF;Similar to competence protein F;;kustd2159
Q1PXY7;;Uncharacterized protein;;kustd2161
Q1PY00;cga;Similar to glucan 1,4-alpha-glucosidase (Glucoamylase) (EC 3.2.1.3);;kustd2168
Q1PY12;;Uncharacterized protein;;kustd2175
Q1PY11;;Uncharacterized protein;;kustd2176
Q1PY07;;TPR_REGION domain-containing protein;;kustd2180
Q1PY06;;Response regulatory domain-containing protein;;kustd2181
Q1PY23;;Uncharacterized protein;;kustd2182
Q1PY20;tmk;Thymidylate kinase (EC 2.7.4.9) (dTMP kinase);;kustd2185
Q1PY17;uspA;Universal stress protein;;kustd2188
Q1PY16;lon;Lon protease (EC 3.4.21.53) (ATP-dependent protease La);;kustd2189
Q1PY30;purD;Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase);;kustd2192
Q1PY29;;Uncharacterized protein;;kustd2193
Q1PY26;trpC;Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48);;kustd2196
Q1PY39;;TGc domain-containing protein;;kustd2200
Q1PY36;nirJ;Similar to heme d1 biosynthesis protein NirJ;;kustd2203
Q1PY35;;Uncharacterized protein;;kustd2204
Q1PY33;;Uncharacterized protein;;kustd2206
Q1PY48;;Uncharacterized protein;;kustd2209
Q1PY45;birA;Similar to biotin-[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15);;kustd2212
Q1PY44;;Uncharacterized protein;;kustd2213
Q1PY43;groL groEL;60 kDa chaperonin (GroEL protein) (Protein Cpn60);;kustd2214
Q1PY59;dnaJ;Chaperone protein DnaJ;;kustd2217
Q1PY53;pcrA;DNA helicase (EC 3.6.4.12);;kustd2223
Q1PY52;nifS;Similar to iron-sulfur cofactor synthesis protein NifS (EC 4.4.-.-);;kustd2224
Q1PY50;;UPF0033 domain-containing protein;;kustd2226
Q1PY69;;Integrase_SAM-like_N domain-containing protein;;kustd2227
Q1PY68;;Uncharacterized protein;;kustd2228
Q1PY67;;Transposase_31 domain-containing protein;;kustd2229
Q1PY66;;Uncharacterized protein;;kustd2230
Q1PY65;;Uncharacterized protein;;kustd2231
Q1PY61;tnpA;Similar to transposase;;kustd2235
Q1PY60;;Uncharacterized protein;;kustd2236
Q1PY73;;pEK499_p136 domain-containing protein;;kustd2237
Q1PY72;;Predicted orf;;kustd2238
Q1PY71;;Predicted orf;;kustd2239
Q1PY70;;Predicted orf;;kustd2240
Q1Q5Y9;;N-acetyltransferase domain-containing protein;;kuste2244
Q1Q5Y8;;Tnp_DDE_dom domain-containing protein;;kuste2245
Q1Q5Y7;;Uncharacterized protein;;kuste2246
Q1Q601;copA;Strongly similar to copper-transporting ATPase (EC 3.6.3.4);;kuste2247
Q1Q600;;Uncharacterized protein;;kuste2248
Q1Q5Z9;papS;Similar to poly(A) polymerase (EC 2.7.7.19);;kuste2249
Q1Q5Z8;;Uncharacterized protein;;kuste2250
Q1Q5Z7;;Uncharacterized protein;;kuste2251
Q1Q5Z6;;PilZ domain-containing protein;;kuste2252
Q1Q5Z4;;Uncharacterized protein;;kuste2254
Q1Q608;;Uncharacterized protein;;kuste2259
Q1Q606;;Uncharacterized protein;;kuste2261
Q1Q605;;Uncharacterized protein;;kuste2262
Q1Q604;murQ;N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase);;kuste2263
Q1Q603;;Uncharacterized protein;;kuste2264
Q1Q602;pgpA;Similar to phosphatidylglycerophosphatase (EC 3.1.3.27);;kuste2265
Q1Q620;;Uncharacterized protein;;kuste2267
Q1Q619;;Uncharacterized protein;;kuste2268
Q1Q616;;Uncharacterized protein;;kuste2271
Q1Q615;;Uncharacterized protein;;kuste2272
Q1Q613;envZ;Similar to histidine kinase (EC 2.7.3.-);;kuste2274
Q1Q612;;Metallophos domain-containing protein;;kuste2275
Q1Q630;;Uncharacterized protein;;kuste2277
Q1Q628;acrA;Similar to AcrA family multidrug efflux protein;;kuste2279
Q1Q627;;Hypothetical outermembrane protein;;kuste2280
Q1Q626;;Uncharacterized protein;;kuste2281
Q1Q623;;Uncharacterized protein;;kuste2284
Q1Q622;;PMT_2 domain-containing protein;;kuste2285
Q1Q640;;Uncharacterized protein;;kuste2286
Q1Q639;;Uncharacterized protein;;kuste2287
Q1Q638;;Uncharacterized protein;;kuste2288
Q1Q636;;DFP domain-containing protein;;kuste2290
Q1Q635;;Uncharacterized protein;;kuste2291
Q1Q633;;Uncharacterized protein;;kuste2293
Q1Q649;;Uncharacterized protein;;kuste2295
Q1Q647;;Uncharacterized protein;;kuste2297
Q1Q646;pepA;Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase);;kuste2298
Q1Q645;uvrA;UvrABC system protein A;;kuste2299
Q1Q644;epsE;Strongly similar to general secretion pathway protein E;;kuste2300
Q1Q642;;Uncharacterized protein;;kuste2302
Q1Q641;;Uncharacterized protein;;kuste2303
Q1Q658;;Cache domain-containing protein;;kuste2305
Q1Q656;;Uncharacterized protein;;kuste2307
Q1Q655;narK;Similar to nitrite extrusion protein narK;;kuste2308
Q1Q653;;Uncharacterized protein;;kuste2310
Q1Q652;spcE;Similar to dTDP-glucose 4,6-dehydratase (EC 4.2.1.46);;kuste2311
Q1Q667;;Uncharacterized protein;;kuste2315
Q1Q665;pdh;Strongly similar to 2-oxoglutarate dehydrogenase (Lipoamide) E1-beta chain (EC 1.2.4.4);;kuste2317
Q1Q664;sucB;Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-);;kuste2318
Q1Q663;lipB;Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase);;kuste2319
Q1Q661;;Uncharacterized protein;;kuste2321
Q1Q660;;Uncharacterized protein;;kuste2322
Q1Q677;;Uncharacterized protein;;kuste2323
Q1Q676;;Uncharacterized protein;;kuste2324
Q1Q675;;Uncharacterized protein;;kuste2325
Q1Q673;;Uncharacterized protein;;kuste2327
Q1Q672;;Uncharacterized protein;;kuste2328
Q1Q670;;Uncharacterized protein;;kuste2330
Q1Q669;;Uncharacterized protein;;kuste2331
Q1Q686;;Uncharacterized protein;;kuste2332
Q1Q685;;Uncharacterized protein;;kuste2333
Q1Q695;;Uncharacterized protein;;kuste2341
Q1Q694;;AsmA domain-containing protein;;kuste2342
Q1Q693;;Uncharacterized protein;;kuste2343
Q1Q692;;Uncharacterized protein;;kuste2344
Q1Q690;;TPR_REGION domain-containing protein;;kuste2346
Q1Q689;rluD;Pseudouridine synthase (EC 5.4.99.-);;kuste2347
Q1Q6A3;;Uncharacterized protein;;kuste2350
Q1Q6A2;;Uncharacterized protein;;kuste2351
Q1Q6A0;;Uncharacterized protein;;kuste2353
Q1Q699;;Uncharacterized protein;;kuste2354
Q1Q698;;NAD_synthase domain-containing protein;;kuste2355
Q1Q696;;Uncharacterized protein;;kuste2357
Q1Q6B3;;Uncharacterized protein;;kuste2358
Q1Q6B1;;Uncharacterized protein;;kuste2360
Q1Q6A8;;Uncharacterized protein;;kuste2363
Q1Q6A6;;Uncharacterized protein;;kuste2365
Q1Q6A5;;Uncharacterized protein;;kuste2366
Q1Q6A4;rpoD;Similar to transcription initiation factor sigma 70;;kuste2367
Q1Q6C3;;Uncharacterized protein;;kuste2368
Q1Q6C2;;Uncharacterized protein;;kuste2369
Q1Q6C1;;Uncharacterized protein;;kuste2370
Q1Q6C0;nrdA;Vitamin B12-dependent ribonucleotide reductase (EC 1.17.4.1);;kuste2371
Q1Q6B9;queA;S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA);;kuste2372
Q1Q6B8;mraZ;Transcriptional regulator MraZ;;kuste2373
Q1Q6B4;;Uncharacterized protein;;kuste2377
Q1Q6D2;murF;UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme);;kuste2379
Q1Q6D1;mraY;Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase);;kuste2380
Q1Q6C7;;Uncharacterized protein;;kuste2384
Q1Q6C6;murC;UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase);;kuste2385
Q1Q6C5;ddlA ddl;D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase);;kuste2386
Q1Q6C4;;Uncharacterized protein;;kuste2387
Q1Q6E2;;Uncharacterized protein;;kuste2388
Q1Q6D8;xpsK;Similar to general secretory pathway protein K;;kuste2392
Q1Q6F0;;Uncharacterized protein;;kuste2398
Q1Q6E9;mdh;Malate dehydrogenase (EC 1.1.1.37);;kuste2399
Q1Q6E8;;Uncharacterized protein;;kuste2400
Q1Q6E5;;Uncharacterized protein;;kuste2403
Q1Q6E4;;Uncharacterized protein;;kuste2404
Q1Q6G0;;Uncharacterized protein;;kuste2406
Q1Q6F9;;Uncharacterized protein;;kuste2407
Q1Q6F8;;PDZ domain-containing protein;;kuste2408
Q1Q6F6;alr;Alanine racemase (EC 5.1.1.1);;kuste2410
Q1Q6F3;;Uncharacterized protein;;kuste2413
Q1Q6F2;;Uncharacterized protein;;kuste2414
Q1Q6G8;;Uncharacterized protein;;kuste2417
Q1Q6G7;;Uncharacterized protein;;kuste2418
Q1Q6G5;;Uncharacterized protein;;kuste2420
Q1Q6G4;;Uncharacterized protein;;kuste2421
Q1Q6G2;fdhA;Similar to molybdopterin containing oxidoreductase (FdhA, nuoG, napA);;kuste2423
Q1Q6H5;;Uncharacterized protein;;kuste2429
Q1Q6H4;;Uncharacterized protein;;kuste2430
Q1Q6H3;;Uncharacterized protein;;kuste2431
Q1Q6H1;;GGDEF domain-containing protein;;kuste2433
Q1Q6I7;;GGDEF domain-containing protein;;kuste2434
Q1Q6I6;hao;Conserved hypothetical hydroxylamine oxidoreductase protein (EC 1.7.3.4);;kuste2435
Q1Q6I4;;Uncharacterized protein;;kuste2437
Q1Q6I3;;Uncharacterized protein;;kuste2438
Q1Q6I2;;Uncharacterized protein;;kuste2439
Q1Q6I0;;Uncharacterized protein;;kuste2441
Q1Q6J6;;Uncharacterized protein;;kuste2442
Q1Q6J5;xerD;Similar to site-specific tyrosine recombinase;;kuste2443
Q1Q6J4;;FMN_red domain-containing protein;;kuste2444
Q1Q6J3;;Uncharacterized protein;;kuste2445
Q1Q6J2;;Uncharacterized protein;;kuste2446
Q1Q6J1;;Uncharacterized protein;;kuste2447
Q1Q6J0;;Uncharacterized protein;;kuste2448
Q1Q6I9;;Uncharacterized protein;;kuste2449
Q1Q6I8;;Uncharacterized protein;;kuste2450
Q1Q6K5;vacB rnr;Ribonuclease R (RNase R) (EC 3.1.13.1);;kuste2451
Q1Q6K4;;Uncharacterized protein;;kuste2452
Q1Q6K3;yhaM;Strongly similar to exoribonuclease YhaM (EC 3.1.-.-);;kuste2453
Q1Q6K2;;Uncharacterized protein;;kuste2454
Q1Q6K1;;Uncharacterized protein;;kuste2455
Q1Q6K0;;Uncharacterized protein;;kuste2456
Q1Q6J9;hao;Similar to hydroxylamine oxidoreductase hao (EC 1.7.3.4);;kuste2457
Q1Q6J8;;Uncharacterized protein;;kuste2458
Q1Q6J7;;Uncharacterized protein;;kuste2459
Q1Q6L5;;Uncharacterized protein;;kuste2460
Q1Q6L4;;Hypothetical c554 cytochrome protein;;kuste2461
Q1Q6K9;glgC;Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase);;kuste2466
Q1Q6K8;;Uncharacterized protein;;kuste2467
Q1Q6K7;;Uncharacterized protein;;kuste2468
Q1Q6L9;;Uncharacterized protein;;kuste2476
Q1Q6L7;;Conserved hypothetical (Diheme) protein;;kuste2478
Q1Q6N4;;Uncharacterized protein;;kuste2480
Q1Q6M8;;Uncharacterized protein;;kuste2486
Q1Q6M6;;Uncharacterized protein;;kuste2488
Q1Q6P4;;DDE_Tnp_ISL3 domain-containing protein;;kuste2489
Q1Q2V1;;Uncharacterized protein;;kuste2490 kuste3572 kuste3664 kuste4303 kuste4493
Q1Q2U9;;Integrase catalytic domain-containing protein;;kuste2492 kuste2649 kuste3574 kuste3666 kuste4305 kuste4491
Q1Q6N8;;DEDD_Tnp_IS110 domain-containing protein;;kuste2495
Q1Q6N7;;Uncharacterized protein;;kuste2496
Q1Q6N6;hsp70 dnaK;Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70);;kuste2497
Q1Q6N5;Hsp70 grpE;Protein GrpE (HSP-70 cofactor);;kuste2498
Q1Q6Q4;;Uncharacterized protein;;kuste2499
Q1Q6Q3;Hsp2;Similar to second small heat shock protein;;kuste2500
Q1Q6Q2;Hsp1;Similar to first small heat shock protein;;kuste2501
Q1Q6Q0;;Uncharacterized protein;;kuste2503
Q1Q6P9;anfA nifA;Similar to Sigma-54 dependent transcriptional regulator;;kuste2504
Q1Q6P8;;Phosphoesterase (EC 3.1.4.-);;kuste2505
Q1Q6P6;nuoF;Strongly similar to proton-translocating NADH dehydrogenase I, 51 kDa subunit (NuoF) (EC 1.6.99.5);;kuste2507
Q1Q6P5;TnpA;Similar to transposase;;kuste2508
Q1Q6R1;PurC purL;Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II);;kuste2511
Q1Q6Q9;;Uncharacterized protein;;kuste2513
Q1Q6Q8;;Uncharacterized protein;;kuste2514
Q1Q6Q7;;Uncharacterized protein;;kuste2515
Q1Q6Q6;;Uncharacterized protein;;kuste2516
Q1Q6Q5;FliE. fliE;Flagellar hook-basal body complex protein FliE;;kuste2517
Q1Q6S3;;Uncharacterized protein;;kuste2518
Q1Q6S2;;Uncharacterized protein;;kuste2519
Q1Q6R8;fliI;Strongly similar to flagellar ATPase fliI;;kuste2523
Q1Q6R7;;Uncharacterized protein;;kuste2524
Q1Q6R5;;Flagellar protein FliL;;kuste2526
Q1Q6R4;FliM;Similar to flagellar motor switch;;kuste2527
Q1Q6T3;FliN;Strong similar to flagellar motor switch protein FliN;;kuste2528
Q1Q6T2;;Uncharacterized protein;;kuste2529
Q1Q6T1;;Uncharacterized protein;;kuste2530
Q1Q6T0;;Uncharacterized protein;;kuste2531
Q1Q6S9;;Uncharacterized protein;;kuste2532
Q1Q6S8;FliP fliP;Flagellar biosynthetic protein FliP;;kuste2533
Q1Q6S7;fliQ;Flagellar biosynthetic protein FliQ;;kuste2534
Q1Q6S6;fliR;Flagellar biosynthetic protein FliR;;kuste2535
Q1Q6S5;flhB;Flagellar biosynthetic protein FlhB;;kuste2536
Q1Q6S4;flhA;Flagellar biosynthesis protein FlhA;;kuste2537
Q1Q6U0;motR;Strong similarity to bacterial motility regulatory protein MotR;;kuste2538
Q1Q6T9;;Uncharacterized protein;;kuste2539
Q1Q6T8;;Uncharacterized protein;;kuste2540
Q1Q6T7;fliA;Strongly similar to RNA polymerase sigma factor for flagellar operon;;kuste2541
Q1Q6T4;;Uncharacterized protein;;kuste2544
Q1Q6V0;;Uncharacterized protein;;kuste2545
Q1Q6U9;;Uncharacterized protein;;kuste2546
Q1Q6U7;;Uncharacterized protein;;kuste2548
Q1Q6U6;;Uncharacterized protein;;kuste2549
Q1Q6U5;;Uncharacterized protein;;kuste2550
Q1Q6U4;wza;Similar to capsular polysaccharide biosynthesis protein Wza;;kuste2551
Q1Q6U3;;Uncharacterized protein;;kuste2552
Q1Q6U2;;Uncharacterized protein;;kuste2553
